,name,scores_summed
96,Rep. Jonathan Jackson,18.55462019349858
286,Rep. Joe Neguse,6.982416195818964
107,The Office of Congressman Andy Kim,6.741912183272623
36,Mark Alford,6.739581957581473
91,Rep. Josh Harder,6.302924682677766
208,Senator Jerry Moran,6.22385848617543
322,Rep. Steve Womack,6.092162171228178
336,Rep. Andrea Salinas,6.024572427964262
19,Rep. Terri A. Sewell,5.970220133004285
8,Rep. Lucy McBath,5.908637731523261
151,"Rep. Kim Schrier, M.D.",5.765390903655103
164,Rep. Emilia Strong Sykes,5.739607043371257
243,Rep. Nikki Budzinski,5.712699212841128
97,Jeff Jackson,5.620069393489496
414,Rep. Lizzie Fletcher,5.388909465690641
364,Rep. Brian Fitzpatrick \ud83c\uddfa\ud83c\uddf8,5.329333467431942
125,Rep. Marc Molinaro,5.316622408384816
141,Congresswoman Delia Ramirez,5.294782564594284
311,Representative Jill Tokuda,5.232631758897317
60,Angie Craig,5.2000283665253075
302,Congresswoman Hillary Scholten,5.037763842461075
360,Jahana Hayes,4.956408423350308
123,Grace Meng,4.846369358925838
77,Congresswoman Valerie Foushee,4.801625920716597
421,"Sanford Bishop, Jr.",4.70890393261065
134,Rep. Jimmy Panetta,4.70497050169376
147,"Congressman Raul Ruiz, M.D.",4.575424320958558
174,Sen. Tammy Baldwin,4.5339418147920965
221,Tim Scott,4.51544094374213
153,Rep. David Scott,4.495560910920604
375,Congressman Eric Sorensen,4.479680731789998
345,Rep. Sharice Davids,4.432209268742071
271,Ann McLane Kuster,4.381748499528285
84,Congressman Jared Golden,4.379712619659923
300,Del. Kilili Sablan,4.357111992326475
362,Rep. Juan Ciscomani,4.356469891543899
173,Rep. Susan Wild,4.324297872713803
392,Joe Morelle,4.301351206034106
408,Rep. Marie Gluesenkamp Perez,4.2959398356510174
145,Hal Rogers,4.278696133261231
189,Kirsten Gillibrand,4.188983777610584
93,Chrissy Houlahan,4.181874799915451
110,Congressman Greg Landsman,4.18180430120912
204,Senator Ben Ray Luj\u00e1n,4.154604772650385
15,Ron Wyden,4.147221237350725
53,Matt Cartwright,4.144971693655259
54,Rep. Ed Case,4.140107685262681
282,Congressman Dan Meuser,4.040997265698514
108,Rep. David Kustoff,3.9718212865935856
400,Rep. Morgan McGarvey,3.9019403449250576
163,Dale W. Strong,3.899221453521125
191,Sen. Maggie Hassan,3.715964061925758
278,Rep. Doris Matsui,3.7125070351638585
352,Rep. Lloyd Smucker,3.649562070996172
342,Senator Joe Manchin,3.634665658068851
65,Rep. John Curtis,3.628857750907961
38,RepMarkAmodei,3.5949157270714154
218,Senator Mike Rounds,3.5816678274885905
326,Senator Tom Carper,3.531975998181054
339,Rep. Lauren Underwood,3.5051360791691906
14,Senator John Thune,3.501565556036269
416,Rep. Jennifer Wexton,3.4203715212949914
222,Sen. Jeanne Shaheen,3.3706626490997498
275,Congresswoman Laurel Lee,3.3597840790660594
344,Rep. Tom Cole,3.3182034135535288
200,Senator Amy Klobuchar,3.309826080290811
177,Richard Blumenthal,3.2763285009622507
